분류,SOURCE_CODE,SOURCE_CODE_DESCRIPTION,TARGET_CONCEPT_ID,TARGET_VOCABULARY_ID,EXT_TABLE,EXT_TYPE,EXT_KCD,EXT_ICD10,TARGET_CONCEPT_CODE, count ,검토,최종,new_concept_id,new_concept_name
Diabetes mellitus,D00023518,Drug-induced diabetes mellitus with chronic kidney disease,192279,None,Condition,dx_id,E1322,,127013003, - ,1,포함,,
Diabetes mellitus,D00023521,Pancreatic diabetes mellitus with chronic kidney disease,192279,None,Condition,dx_id,E1322,,127013003, - ,1,포함,,
Diabetes mellitus,D00023522,Posttransplant diabetes mellitus with chronic kidney disease,192279,None,Condition,dx_id,E1322,,127013003, - ,1,포함,,
Diabetes mellitus,D00023520,Mitochondrial diabetes mellitus with chronic kidney disease,192279,None,Condition,dx_id,E1322,,127013003, - ,1,포함,,
Diabetes mellitus,D00023519,Maturity onset diabetes of young with chronic kidney disease,192279,None,Condition,dx_id,E1322,,127013003, - ,1,포함,,
Diabetes mellitus,D00005979,Posttransplant diabetes mellitus without complication,192279,SNOMED,Condition,dx_id,E139,E13.9,127013003,110,1,포함,,
Diabetes mellitus,83934,Diabetic nephropathy,192279,SNOMED,Condition,dx_id,E142,E14.2,127013003,42,1,포함,,
Diabetes mellitus,84477,Diabetic nephropathy,192279,SNOMED,Condition,dx_id,E142,E14.2,127013003,"3,782",1,포함,,
Diabetes mellitus,79113,Diabetic nephropathy,192279,SNOMED,Condition,dx_id,E142,E14.2,127013003,"3,091",1,포함,,
Diabetes mellitus,D00006000,"Diabetes mellitus, unspecified, with nephropathy",192279,SNOMED,Condition,dx_id,E142,E14.2,127013003,"19,008",1,포함,,
Diabetes mellitus,D00023523,"Diabetes mellitus, unspecified, with chronic kidney disease",192279,None,Condition,dx_id,E1422,,127013003, - ,1,포함,,
Diabetes mellitus,86297,Posttransplant diabetes mellitus,192279,SNOMED,Condition,dx_id,T861,T86.1,127013003,48,1,포함,,
Diabetes mellitus,D00023135,Mitochondrial diabetes mellitus with nephropathy,195771,SNOMED,Condition,dx_id,E132,E13.2,8801005, - ,1,포함,,
Diabetes mellitus,D00023136,Mitochondrial diabetes mellitus with retinopathy,195771,SNOMED,Condition,dx_id,E133,E13.3,8801005, - ,1,포함,,
Diabetes mellitus,D00023137,Mitochondrial diabetes mellitus with cataract,195771,SNOMED,Condition,dx_id,E1334,E13.3,8801005, - ,1,포함,,
Diabetes mellitus,D00023138,Mitochondrial diabetes mellitus with other ophthalmic complication,195771,SNOMED,Condition,dx_id,E1338,E13.3,8801005, - ,1,포함,,
Diabetes mellitus,D00023139,Mitochondrial diabetes mellitus with neuropathy,195771,SNOMED,Condition,dx_id,E134,E13.4,8801005, - ,1,포함,,
Diabetes mellitus,D00023141,Mitochondrial diabetes mellitus with cerebrovascular disease,195771,SNOMED,Condition,dx_id,E1358,E13.5,8801005, - ,1,포함,,
Diabetes mellitus,D00023140,Mitochondrial diabetes mellitus with coronary artery disease,195771,SNOMED,Condition,dx_id,E1358,E13.5,8801005, - ,1,포함,,
