분류,SOURCE_CODE,SOURCE_CODE_DESCRIPTION,TARGET_CONCEPT_ID,TARGET_VOCABULARY_ID,EXT_TABLE,EXT_TYPE,EXT_KCD,EXT_ICD10,TARGET_CONCEPT_CODE, count ,검토,최종,new_concept_id,new_concept_name
Hypertension,D00009549,Hypertensive heart and renal disease,195556,SNOMED,Condition,dx_id,I139,I13.9,86234004,648,1,포함,,
Hypertension,93899,Hypertensive heart and renal disease,195556,SNOMED,Condition,dx_id,I139,I13.9,86234004,256,1,포함,,
Hypertension,79304,Hypertensive renal disease,201313,SNOMED,Condition,dx_id,I129,I12.9,38481006,"1,825",1,포함,,
Hypertension,79318,Hypertensive renal disease,201313,SNOMED,Condition,dx_id,I129,I12.9,38481006,5,1,포함,,
Hypertension,D00009544,Hypertensive nephrosclerosis,201313,SNOMED,Condition,dx_id,I129,I12.9,38481006,268,1,포함,,
Hypertension,79506,Hypertensive renal disease without renal failure,201313,SNOMED,Condition,dx_id,I129,I12.9,38481006,67,1,포함,,
Hypertension,D00009545,Hypertensive renal disease,201313,SNOMED,Condition,dx_id,I129,I12.9,38481006,"4,653",1,포함,,
Hypertension,93898,Hypertensive heart disease with congestive heart failure,314378,SNOMED,Condition,dx_id,I110,I11.0,5148006,92,1,포함,,
Hypertension,D00009541,Hypertensive heart failure,314378,SNOMED,Condition,dx_id,I110,I11.0,5148006,458,1,포함,,
Hypertension,81859,Hypertension,316866,SNOMED,Condition,dx_id,I10,I10,38341003,"19,121",1,포함,포함,
Hypertension,D00009540,Hypertension,316866,SNOMED,Condition,dx_id,I109,I10,38341003,"235,624",1,포함,포함,
Hypertension,79130,Hypertension,316866,SNOMED,Condition,dx_id,I109,I10,38341003,"189,935",1,포함,포함,
Hypertension,D00009551,"Renovascular hypertension, Moyamoya-associated",317895,SNOMED,Condition,dx_id,I150,I15.0,123799005,5,1,포함,,
Hypertension,D00009550,Renovascular hypertension,317895,SNOMED,Condition,dx_id,I150,I15.0,123799005,390,1,포함,,
Hypertension,81880,Renovascular hypertension,317895,SNOMED,Condition,dx_id,I150,I15.0,123799005,40,1,포함,,
Hypertension,81863,Renovascular hypertension,317895,SNOMED,Condition,dx_id,I150,I15.0,123799005,45,1,포함,,
Hypertension,79135,Renovascular hypertension,317895,SNOMED,Condition,dx_id,I150,I15.0,123799005,888,1,포함,,
Hypertension,93897,Hypertensive heart disease without congestive heart failure,319034,SNOMED,Condition,dx_id,I119,I11.9,60899001,"12,585",1,포함,,
Hypertension,D00009558,Secondary hypertension,319826,SNOMED,Condition,dx_id,I159,I15.9,31992008,"2,154",1,포함,,
Hypertension,81862,Secondary hypertension,319826,SNOMED,Condition,dx_id,I159,I15.9,31992008,78,1,포함,,
Hypertension,79132,Secondary hypertension,319826,SNOMED,Condition,dx_id,I159,I15.9,31992008,"1,289",1,포함,,
