GENDER,age_00M,L,M,S,1st,3rd,5th,10th,15th,25th,50th,75th,85th,90th,95th,97th,99th,-3SD,-2SD,-1SD,0,+1SD,+2SD,+3SD
1,24,-0.6187,16.0189,0.0779,13.5,13.9,14.2,14.5,14.8,15.2,16,16.9,17.4,17.8,18.3,18.7,19.4,12.9,13.8,14.8,16,17.3,18.9,20.6
1,25,-0.584,15.98,0.0779,13.5,13.9,14.1,14.5,14.8,15.2,16,16.9,17.4,17.7,18.3,18.6,19.4,12.8,13.8,14.8,16,17.3,18.8,20.5
1,26,-0.5497,15.9414,0.078,13.4,13.8,14.1,14.5,14.7,15.1,15.9,16.8,17.3,17.7,18.2,18.6,19.3,12.8,13.7,14.8,15.9,17.3,18.8,20.5
1,27,-0.5166,15.9036,0.0781,13.4,13.8,14,14.4,14.7,15.1,15.9,16.8,17.3,17.6,18.2,18.5,19.2,12.7,13.7,14.7,15.9,17.2,18.7,20.4
1,28,-0.485,15.8667,0.0782,13.3,13.8,14,14.4,14.7,15.1,15.9,16.7,17.2,17.6,18.1,18.5,19.2,12.7,13.6,14.7,15.9,17.2,18.7,20.4
1,29,-0.4552,15.8306,0.0783,13.3,13.7,14,14.4,14.6,15,15.8,16.7,17.2,17.5,18.1,18.4,19.1,12.7,13.6,14.7,15.8,17.1,18.6,20.3
1,30,-0.4274,15.7953,0.0784,13.3,13.7,13.9,14.3,14.6,15,15.8,16.7,17.2,17.5,18,18.4,19.1,12.6,13.6,14.6,15.8,17.1,18.6,20.2
1,31,-0.4016,15.7606,0.0785,13.2,13.7,13.9,14.3,14.5,15,15.8,16.6,17.1,17.5,18,18.4,19.1,12.6,13.5,14.6,15.8,17.1,18.5,20.2
1,32,-0.3782,15.7267,0.0787,13.2,13.6,13.9,14.2,14.5,14.9,15.7,16.6,17.1,17.4,18,18.3,19,12.5,13.5,14.6,15.7,17,18.5,20.1
1,33,-0.3572,15.6934,0.0788,13.1,13.6,13.8,14.2,14.5,14.9,15.7,16.6,17,17.4,17.9,18.3,19,12.5,13.5,14.5,15.7,17,18.5,20.1
1,34,-0.3388,15.661,0.079,13.1,13.5,13.8,14.2,14.4,14.9,15.7,16.5,17,17.4,17.9,18.2,18.9,12.5,13.4,14.5,15.7,17,18.4,20
1,35,-0.3231,15.6294,0.0791,13.1,13.5,13.8,14.1,14.4,14.8,15.6,16.5,17,17.3,17.9,18.2,18.9,12.4,13.4,14.5,15.6,16.9,18.4,20
1,36,1.8637,15.9455,0.0665,13.3,13.8,14.1,14.5,14.8,15.2,15.9,16.6,17,17.3,17.6,17.8,18.3,12.4,13.7,14.9,15.9,17,18,18.9
1,37,1.7284,15.9431,0.0672,13.3,13.8,14.1,14.5,14.8,15.2,15.9,16.7,17,17.3,17.6,17.9,18.3,12.4,13.7,14.8,15.9,17,18,19
1,38,1.5969,15.9406,0.0679,13.3,13.8,14.1,14.5,14.8,15.2,15.9,16.7,17,17.3,17.7,17.9,18.4,12.5,13.7,14.8,15.9,17,18,19
1,39,1.4694,15.9381,0.0686,13.3,13.8,14.1,14.5,14.8,15.2,15.9,16.7,17.1,17.3,17.7,17.9,18.4,12.5,13.7,14.8,15.9,17,18.1,19.1
1,40,1.3456,15.9355,0.0692,13.3,13.8,14.1,14.5,14.8,15.2,15.9,16.7,17.1,17.3,17.7,18,18.4,12.5,13.7,14.8,15.9,17,18.1,19.1
1,41,1.2257,15.9328,0.0699,13.3,13.8,14.1,14.5,14.8,15.2,15.9,16.7,17.1,17.3,17.7,18,18.5,12.5,13.7,14.8,15.9,17,18.1,19.2
1,42,1.1096,15.9302,0.0706,13.3,13.8,14.1,14.5,14.8,15.2,15.9,16.7,17.1,17.4,17.8,18,18.5,12.5,13.7,14.8,15.9,17.1,18.2,19.3
1,43,0.9972,15.9275,0.0712,13.3,13.8,14.1,14.5,14.8,15.2,15.9,16.7,17.1,17.4,17.8,18.1,18.6,12.5,13.7,14.8,15.9,17.1,18.2,19.3
1,44,0.8886,15.9248,0.0719,13.3,13.8,14.1,14.5,14.7,15.2,15.9,16.7,17.1,17.4,17.8,18.1,18.6,12.5,13.7,14.8,15.9,17.1,18.2,19.4
1,45,0.7835,15.9222,0.0725,13.3,13.8,14,14.5,14.7,15.1,15.9,16.7,17.1,17.4,17.8,18.1,18.7,12.5,13.7,14.8,15.9,17.1,18.3,19.5
1,46,0.6821,15.9195,0.0731,13.3,13.8,14,14.5,14.7,15.1,15.9,16.7,17.1,17.4,17.9,18.2,18.7,12.6,13.6,14.8,15.9,17.1,18.3,19.5
1,47,0.5841,15.9169,0.0737,13.3,13.8,14,14.4,14.7,15.1,15.9,16.7,17.2,17.4,17.9,18.2,18.7,12.6,13.6,14.8,15.9,17.1,18.3,19.6
1,48,0.4885,15.9165,0.0744,13.3,13.8,14,14.4,14.7,15.1,15.9,16.7,17.2,17.5,17.9,18.2,18.8,12.6,13.6,14.8,15.9,17.1,18.4,19.7
1,49,0.3966,15.9162,0.075,13.3,13.8,14,14.4,14.7,15.1,15.9,16.7,17.2,17.5,18,18.3,18.8,12.6,13.6,14.7,15.9,17.1,18.4,19.7
1,50,0.3084,15.916,0.0757,13.3,13.8,14,14.4,14.7,15.1,15.9,16.7,17.2,17.5,18,18.3,18.9,12.6,13.6,14.7,15.9,17.2,18.5,19.8
1,51,0.2237,15.9158,0.0763,13.3,13.8,14,14.4,14.7,15.1,15.9,16.8,17.2,17.5,18,18.3,18.9,12.6,13.6,14.7,15.9,17.2,18.5,19.9
1,52,0.1425,15.9156,0.0769,13.3,13.8,14,14.4,14.7,15.1,15.9,16.8,17.2,17.6,18,18.4,19,12.6,13.6,14.7,15.9,17.2,18.5,20
1,53,0.0647,15.9156,0.0775,13.3,13.7,14,14.4,14.7,15.1,15.9,16.8,17.2,17.6,18.1,18.4,19,12.6,13.6,14.7,15.9,17.2,18.6,20
1,54,-0.01,15.9156,0.0781,13.3,13.7,14,14.4,14.7,15.1,15.9,16.8,17.3,17.6,18.1,18.4,19.1,12.6,13.6,14.7,15.9,17.2,18.6,20.1
1,55,-0.0815,15.9156,0.0788,13.3,13.7,14,14.4,14.7,15.1,15.9,16.8,17.3,17.6,18.1,18.5,19.1,12.6,13.6,14.7,15.9,17.2,18.6,20.2
1,56,-0.15,15.9158,0.0793,13.3,13.7,14,14.4,14.7,15.1,15.9,16.8,17.3,17.6,18.2,18.5,19.2,12.6,13.6,14.7,15.9,17.2,18.7,20.3
1,57,-0.2156,15.916,0.0799,13.3,13.7,14,14.4,14.7,15.1,15.9,16.8,17.3,17.7,18.2,18.5,19.2,12.6,13.6,14.7,15.9,17.3,18.7,20.4
1,58,-0.2784,15.9163,0.0805,13.3,13.7,14,14.4,14.7,15.1,15.9,16.8,17.3,17.7,18.2,18.6,19.3,12.6,13.6,14.7,15.9,17.3,18.8,20.4
1,59,-0.3385,15.9167,0.0811,13.3,13.7,14,14.4,14.7,15.1,15.9,16.8,17.3,17.7,18.2,18.6,19.3,12.6,13.6,14.7,15.9,17.3,18.8,20.5
1,60,-0.3931,15.9217,0.0818,13.3,13.7,14,14.4,14.6,15.1,15.9,16.8,17.4,17.7,18.3,18.7,19.4,12.6,13.6,14.7,15.9,17.3,18.9,20.6
1,61,-0.4449,15.9268,0.0824,13.2,13.7,14,14.4,14.6,15.1,15.9,16.8,17.4,17.7,18.3,18.7,19.5,12.6,13.6,14.7,15.9,17.3,18.9,20.7
1,62,-0.4942,15.932,0.0831,13.2,13.7,14,14.4,14.6,15.1,15.9,16.9,17.4,17.8,18.4,18.7,19.5,12.6,13.6,14.7,15.9,17.3,18.9,20.8
1,63,-0.5409,15.9373,0.0838,13.2,13.7,14,14.4,14.6,15.1,15.9,16.9,17.4,17.8,18.4,18.8,19.6,12.6,13.6,14.7,15.9,17.4,19,20.9
1,64,-0.5853,15.9426,0.0844,13.2,13.7,14,14.4,14.6,15.1,15.9,16.9,17.4,17.8,18.4,18.8,19.6,12.6,13.6,14.7,15.9,17.4,19,21
1,65,-0.6274,15.948,0.0851,13.2,13.7,13.9,14.4,14.6,15.1,15.9,16.9,17.5,17.9,18.5,18.9,19.7,12.6,13.6,14.7,15.9,17.4,19.1,21.1
1,66,-0.6673,15.9535,0.0857,13.2,13.7,13.9,14.3,14.6,15.1,16,16.9,17.5,17.9,18.5,18.9,19.8,12.6,13.6,14.7,16,17.4,19.1,21.2
1,67,-0.7053,15.9591,0.0863,13.2,13.7,13.9,14.3,14.6,15.1,16,16.9,17.5,17.9,18.5,19,19.8,12.6,13.6,14.7,16,17.4,19.2,21.2
1,68,-0.7413,15.9647,0.087,13.2,13.7,13.9,14.3,14.6,15.1,16,17,17.5,17.9,18.6,19,19.9,12.6,13.6,14.7,16,17.5,19.2,21.3
1,69,-0.7754,15.9704,0.0876,13.2,13.7,13.9,14.3,14.6,15.1,16,17,17.5,18,18.6,19,19.9,12.6,13.6,14.7,16,17.5,19.3,21.4
1,70,-0.8078,15.9762,0.0883,13.2,13.7,13.9,14.3,14.6,15.1,16,17,17.6,18,18.6,19.1,20,12.6,13.5,14.7,16,17.5,19.3,21.5
1,71,-0.8385,15.982,0.0889,13.2,13.7,13.9,14.3,14.6,15.1,16,17,17.6,18,18.7,19.1,20.1,12.6,13.5,14.7,16,17.5,19.4,21.6
1,72,-0.8494,16.01,0.0899,13.2,13.7,13.9,14.3,14.6,15.1,16,17,17.6,18.1,18.8,19.2,20.2,12.6,13.5,14.7,16,17.6,19.5,21.7
1,73,-0.859,16.038,0.0909,13.2,13.7,13.9,14.4,14.6,15.1,16,17.1,17.7,18.1,18.8,19.3,20.3,12.6,13.5,14.7,16,17.6,19.5,21.9
