covariateName,conceptId
drug_exposure during day -365 through 0 days relative to index: Protamines 50 MG/ML,36883270
drug_era during day -365 through 0 days relative to index: Protamines,19054245
drug_era group during day -365 through 0 days relative to index: Protamines,19054245
drug_exposure during day -365 through 0 days relative to index: 500 ML Mannitol 150 MG/ML Injection,994095
drug_era group during day -365 through 0 days relative to index: ANTIFIBRINOLYTICS,21601033
drug_era group during day -365 through 0 days relative to index: Antidotes,21605229
drug_exposure during day -365 through 0 days relative to index: Tranexamic Acid 500 MG,1303431
drug_era during day -365 through 0 days relative to index: Tranexamic Acid,1303425
drug_era group during day -365 through 0 days relative to index: Tranexamic Acid,1303425
drug_era group during day -365 through 0 days relative to index: Amino acids,21601034
drug_era during day -365 through 0 days relative to index: Piperacillin,1746114
drug_era group during day -365 through 0 days relative to index: Piperacillin,1746114
drug_exposure during day -365 through 0 days relative to index: Calcium Chloride 40 MMOL/ML / Fibrinogen 106 MG/ML / fibrinolysis inhibitor 3750 UNT/ML / Thrombin (Human) 625 UNT/ML Topical Solution [Tisseel],42543969
drug_era during day -365 through 0 days relative to index: hydroxyethyl starch 130-0.4,43012293
drug_era group during day -365 through 0 days relative to index: hydroxyethyl starch 130-0.4,43012293
drug_era group during day -365 through 0 days relative to index: Penicillins with extended spectrum,21602819
"drug_era group during day -365 through 0 days relative to index: BETA-LACTAM ANTIBACTERIALS, PENICILLINS",21602818
drug_era during day -365 through 0 days relative to index: tazobactam,1741122
drug_era group during day -365 through 0 days relative to index: tazobactam,1741122
drug_era group during day -365 through 0 days relative to index: Beta-lactamase inhibitors,21602858
drug_exposure during day -365 through 0 days relative to index: Thrombin 5000 UNT Injection,42924559
measurement during day -365 through 0 days relative to index: Brachial artery - right Diastolic blood pressure,3001810
measurement during day -365 through 0 days relative to index: Brachial artery - right Systolic blood pressure,3007295
drug_exposure during day -365 through 0 days relative to index: 500 ML hydroxyethyl starch 130-0.4 60 MG/ML Injection,1718296
measurement during day -365 through 0 days relative to index: Brachial artery - left Systolic blood pressure,3004117
measurement during day -365 through 0 days relative to index: Brachial artery - left Diastolic blood pressure,3002785
drug_era during day -365 through 0 days relative to index: Cefazolin,1771162
drug_era group during day -365 through 0 days relative to index: Cefazolin,1771162
drug_era during day -365 through 0 days relative to index: Phenylephrine,1135766
drug_era group during day -365 through 0 days relative to index: Phenylephrine,1135766
drug_era group during day -365 through 0 days relative to index: Sympathomimetics excl. antiglaucoma preparations,21605067
procedure_occurrence during day -365 through 0 days relative to index: Intubation,4202832
"drug_era group during day -365 through 0 days relative to index: Sympathomimetics, plain",21605010
drug_exposure during day -365 through 0 days relative to index: 20 ML Lidocaine 10 MG/ML Injection,43280949
drug_era during day -365 through 0 days relative to index: Mannitol,994058
drug_era group during day -365 through 0 days relative to index: Mannitol,994058
drug_exposure during day -365 through 0 days relative to index: Methylprednisolone 500 MG,35606537
drug_exposure during day -365 through 0 days relative to index: Piperacillin 4000 MG / tazobactam 500 MG Injection,46275444
drug_era group during day -365 through 0 days relative to index: ALL OTHER THERAPEUTIC PRODUCTS,21605227
