covariateName,conceptId
measurement during day -365 through 0 days relative to index: Central venous pressure (CVP),21490675
measurement during day -365 through 0 days relative to index: Femoral artery Mean blood pressure,3019870
measurement during day -365 through 0 days relative to index: Femoral artery Systolic blood pressure,3020524
measurement during day -365 through 0 days relative to index: Femoral artery Diastolic blood pressure,3020528
drug_exposure during day -365 through 0 days relative to index: 150 ML Sodium Chloride 9 MG/ML Injection,40221381
condition_era group during day -365 through 0 days relative to index: Mitral valve regurgitation,443962
measurement during day -365 through 0 days relative to index: Urine output,3014315
condition_occurrence during day -365 through 0 days relative to index: Mitral valve regurgitation,443962
condition_occurrence during day -365 through 0 days relative to index: Aspiration pneumonitis,4306082
condition_era group during day -365 through 0 days relative to index: Aspiration pneumonitis,4306082
drug_exposure during day -365 through 0 days relative to index: Clindamycin 600 MG,19109384
condition_occurrence during day -365 through 0 days relative to index: Azotemia,40481633
condition_era group during day -365 through 0 days relative to index: Azotemia,40481633
condition_occurrence during day -365 through 0 days relative to index: Acute respiratory failure,319049
condition_era group during day -365 through 0 days relative to index: Acute respiratory failure,319049
drug_exposure during day -365 through 0 days relative to index: Levetiracetam 250 MG Oral Tablet,711588
measurement during day -365 through 0 days relative to index: Toxoplasma gondii IgG Ab [Presence] in Serum by Immunoassay,3038536
drug_exposure during day -365 through 0 days relative to index: Simethicone 20 MG/ML,967552
drug_era during day -365 through 0 days relative to index: cefditoren,1747005
drug_era group during day -365 through 0 days relative to index: cefditoren,1747005
condition_occurrence during day -365 through 0 days relative to index: Cerebellar infarction,4319331
condition_era group during day -365 through 0 days relative to index: Cerebellar infarction,4319331
measurement during day -365 through 0 days relative to index: Alpha-1-Fetoprotein [Units/volume] in Serum or Plasma,3015916
condition_era group during day -365 through 0 days relative to index: Myocardial dysfunction,4124706
condition_era group during day -365 through 0 days relative to index: Laryngitis,24969
condition_era group during day -365 through 0 days relative to index: Mass of stomach,4103992
drug_exposure during day -365 through 0 days relative to index: ezetimibe 10 MG / Simvastatin 20 MG Oral Tablet,1526479
condition_era group during day -365 through 0 days relative to index: Neoplasm of stomach,4131611
condition_era group during day -365 through 0 days relative to index: Metabolic encephalopathy,372892
condition_era group during day -365 through 0 days relative to index: Toxic metabolic encephalopathy,43021132
condition_era group during day -365 through 0 days relative to index: Cardiomyopathy,321319
drug_era during day -365 through 0 days relative to index: Dutasteride,989482
